company,region,houses_count,points,satisfaction_level,reliability_level,violations_level,global_id
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «СЕРВИС-ГРУПП»,Центральный ,1,80.96,102.0,87.0,99.97,2387463441
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ПЛЮЩИХА»,Центральный ,1,80.95,102.0,88.0,99.94,2387463442
«ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА»,Северо-Восточный ,190,80.94,103.97,50.0,98.14,2387463443
«ЖИЛИЩНО-ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ «КОМФОРТ»,"[Новомосковский , Троицкий ]",44,80.94,103.96,49.0,98.15,2387463444
«БЛОССОМ»,Юго-Западный ,2,80.94,102.0,76.0,99.97,2387463445
АКЦИОНЕРНОЕ ОБЩЕСТВО «ЭКСПЛУАТАЦИОННО-ТЕХНИЧЕСКАЯ КОМПАНИЯ № 1»,"[Западный , Центральный ]",3,80.94,102.0,98.0,99.87,2387463446
«КП-9-2»,Центральный ,1,80.94,102.0,100.0,99.84,2387463447
«ЖИЛИЩНИК РАЙОНА ЗАПАДНОЕ ДЕГУНИНО»,Северный ,82,80.93,104.13,50.0,97.94,2387463448
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ЖИЛЭКОФОНД»,Северо-Восточный ,1,80.93,102.0,86.0,99.9,2387463449
«УК СК»,Юго-Западный ,1,80.93,102.0,100.0,99.82,2387463450
«БАЗИС»,"[Западный , Центральный ]",23,80.92,102.0,100.0,99.79,2387463451
«РЕМОНТНО - ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ № 40 РАЙОНА «ИВАНОВСКОЕ»,Восточный ,47,80.92,103.0,50.0,99.0,2387463452
«ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО»,Восточный ,181,80.91,103.93,50.0,98.11,2387463453
УК «ПЕРФЕКТ ЖКХ»,Северный ,57,80.91,104.21,50.0,97.82,2387463454
УПРАВЛЯЮЩАЯ КОМПАНИЯ «ТРИУМФ ПАЛАС»,Северный ,1,80.9,102.0,50.0,100.0,2387463455
«УПРАВЛЯЮЩАЯ КОМПАНИЯ СТОЛИЦА-СИТИ»,Западный ,1,80.9,102.0,50.0,99.99,2387463456
«УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ «ВАВИЛОВО»,Юго-Западный ,1,80.9,102.0,50.0,99.99,2387463457
«УК ГОРИЗОНТ»,Западный ,1,80.9,102.0,50.0,100.0,2387463458
УПРАВЛЯЮЩАЯ КОМПАНИЯ «ЛОГИСТИКА»,Центральный ,1,80.89,102.0,50.0,99.98,2387463459
«ЭКОИНВЕСТСТРОЙ»,Центральный ,1,80.89,102.0,50.0,99.98,2387463460
